year,median_log1p,mad_log1p,scaled_dispersion_log1p,dispersion_method,mad_consistency,threshold_k,statistical_cutoff,n_refined,n_invalid_nan,n_invalid_inf,n_invalid_negative,n_invalid_structural,n_valid_before_trim,n_statistical_outlier,n_removed_total,n_trusted,structural_invalid_rate,statistical_removal_rate,total_removal_rate,maximum_valid_before_trim,maximum_after,raw_n,raw_n_nan,raw_n_inf,raw_n_negative,raw_n_zero,raw_n_positive,raw_min,raw_max,raw_mean,raw_median,raw_std,raw_q01,raw_q25,raw_q50,raw_q75,raw_q99,raw_sum,valid_n,valid_n_nan,valid_n_inf,valid_n_negative,valid_n_zero,valid_n_positive,valid_min,valid_max,valid_mean,valid_median,valid_std,valid_q01,valid_q25,valid_q50,valid_q75,valid_q99,valid_sum,trusted_n,trusted_n_nan,trusted_n_inf,trusted_n_negative,trusted_n_zero,trusted_n_positive,trusted_min,trusted_max,trusted_mean,trusted_median,trusted_std,trusted_q01,trusted_q25,trusted_q50,trusted_q75,trusted_q99,trusted_sum,input_file,output_file,read_seconds,trim_seconds,write_seconds,total_seconds
1999,5.000584958242754,0.706525306506121,1.047494419425975,scaled_mad,1.4826,6.0,79661.2797475169,91737,0,0,0,0,91737,0,0,91737,0.0,0.0,0.0,28445.0,28445.0,91737,0,0,0,1365,90372,0.0,28445.0,312.3955307807227,147.5,586.008998362155,0.0,75.0,147.5,308.5,2666.6666666666665,28658228.807231158,91737,0,0,0,1365,90372,0.0,28445.0,312.3955307807227,147.5,586.008998362155,0.0,75.0,147.5,308.5,2666.6666666666665,28658228.807231158,91737,0,0,0,1365,90372,0.0,28445.0,312.3955307807227,147.5,586.008998362155,0.0,75.0,147.5,308.5,2666.6666666666665,28658228.807231158,pnad_refined_1999.parquet,pnad_trusted_1999.parquet,0.0032382510000275033,0.023452181999971344,0.03328315900000689,0.05997359200000574
2001,5.198497031265826,0.6876375247489763,1.0194913941928323,scaled_mad,1.4826,6.0,82078.65001312198,101423,0,0,0,0,101423,0,0,101423,0.0,0.0,0.0,40000.0,40000.0,101423,0,0,0,1885,99538,0.0,40000.0,360.8100437669634,180.0,696.2172897722613,0.0,90.0,180.0,360.0,3150.0,36594437.06897673,101423,0,0,0,1885,99538,0.0,40000.0,360.8100437669634,180.0,696.2172897722613,0.0,90.0,180.0,360.0,3150.0,36594437.06897673,101423,0,0,0,1885,99538,0.0,40000.0,360.8100437669634,180.0,696.2172897722613,0.0,90.0,180.0,360.0,3150.0,36594437.06897673,pnad_refined_2001.parquet,pnad_trusted_2001.parquet,0.003864576000012221,0.022885548000033396,0.16401851099999476,0.19076863500004038
2002,5.303304908059076,0.688184391217816,1.020302178419534,scaled_mad,1.4826,6.0,91592.7190122804,103915,0,0,0,0,103915,1,1,103914,0.0,9.623249771447819e-06,9.623249771447819e-06,154000.0,38000.0,103915,0,0,0,1415,102500,0.0,154000.0,395.4087221552092,200.0,872.0366451525754,0.0,100.0,200.0,400.0,3358.600000000006,41088897.36275856,103915,0,0,0,1415,102500,0.0,154000.0,395.4087221552092,200.0,872.0366451525754,0.0,100.0,200.0,400.0,3358.600000000006,41088897.36275856,103914,0,0,0,1415,102499,0.0,38000.0,393.93053258231384,200.0,730.338382740047,0.0,100.0,200.0,400.0,3350.0,40934897.36275856,pnad_refined_2002.parquet,pnad_trusted_2002.parquet,0.0028929700000048797,0.0251672039999562,0.05098389400001224,0.07904406799997332
2003,5.4510384535657,0.6648536719173341,0.9857120539846396,scaled_mad,1.4826,6.0,86275.34844628305,105676,0,0,0,0,105676,0,0,105676,0.0,0.0,0.0,38000.0,38000.0,105676,0,0,0,1663,104013,0.0,38000.0,429.6820416424124,232.0,775.8540375791118,0.0,114.125,232.0,440.0,3600.0,45407079.432603575,105676,0,0,0,1663,104013,0.0,38000.0,429.6820416424124,232.0,775.8540375791118,0.0,114.125,232.0,440.0,3600.0,45407079.432603575,105676,0,0,0,1663,104013,0.0,38000.0,429.6820416424124,232.0,775.8540375791118,0.0,114.125,232.0,440.0,3600.0,45407079.432603575,pnad_refined_2003.parquet,pnad_trusted_2003.parquet,0.002995487999953639,0.024954649000051177,0.021472342999970806,0.04942247999997562
2004,5.564520407322694,0.6796464933410427,1.0076438910274297,scaled_mad,1.4826,6.0,110235.54593062724,110351,0,0,0,0,110351,0,0,110351,0.0,0.0,0.0,61250.0,61250.0,110351,0,0,0,1337,109014,0.0,61250.0,475.56951908002645,260.0,891.0074390093745,0.0,130.0,260.0,493.0,4000.0,52479572.0,110351,0,0,0,1337,109014,0.0,61250.0,475.56951908002645,260.0,891.0074390093745,0.0,130.0,260.0,493.0,4000.0,52479572.0,110351,0,0,0,1337,109014,0.0,61250.0,475.56951908002645,260.0,891.0074390093745,0.0,130.0,260.0,493.0,4000.0,52479572.0,pnad_refined_2004.parquet,pnad_trusted_2004.parquet,0.002553024999997433,0.027977888999998868,0.039679394000017965,0.07021030800001427
2005,5.69035945432406,0.6730796175091358,0.9979078409190447,scaled_mad,1.4826,6.0,117924.28203989312,114576,0,0,0,0,114576,0,0,114576,0.0,0.0,0.0,64533.0,64533.0,114576,0,0,0,1253,113323,0.0,64533.0,528.1295733836056,295.0,969.5543630883552,0.0,150.0,295.0,537.0,4302.75,60510974.0,114576,0,0,0,1253,113323,0.0,64533.0,528.1295733836056,295.0,969.5543630883552,0.0,150.0,295.0,537.0,4302.75,60510974.0,114576,0,0,0,1253,113323,0.0,64533.0,528.1295733836056,295.0,969.5543630883552,0.0,150.0,295.0,537.0,4302.75,60510974.0,pnad_refined_2005.parquet,pnad_trusted_2005.parquet,0.0031653740000479047,0.027445274999990943,0.15874449999995477,0.18935514899999362
2006,5.802118375377063,0.6316343803389115,0.9364611322904701,scaled_mad,1.4826,6.0,91205.83962329944,116334,0,0,0,0,116334,1,1,116333,0.0,8.595939278284938e-06,8.595939278284938e-06,100000.0,79400.0,116334,0,0,0,1106,115228,0.0,100000.0,587.8893014939742,330.0,1097.557688482805,6.0,170.0,330.0,600.0,4850.0,68391514.0,116334,0,0,0,1106,115228,0.0,100000.0,587.8893014939742,330.0,1097.557688482805,6.0,170.0,330.0,600.0,4850.0,68391514.0,116333,0,0,0,1106,115227,0.0,79400.0,587.0347536812426,330.0,1058.1537565041779,6.0,170.0,330.0,600.0,4850.0,68291514.0,pnad_refined_2006.parquet,pnad_trusted_2006.parquet,0.0027630910000198128,0.028370592999976907,0.05909397599998556,0.09022765999998228
2007,5.902633333401366,0.6498745536332242,0.9635040132166182,scaled_mad,1.4826,6.0,118616.27501061746,115112,0,0,0,0,115112,0,0,115112,0.0,0.0,0.0,60000.0,60000.0,115112,0,0,0,1891,113221,0.0,60000.0,628.2308708040864,365.0,1120.6388194434421,0.0,187.0,365.0,650.0,5000.0,72316912.0,115112,0,0,0,1891,113221,0.0,60000.0,628.2308708040864,365.0,1120.6388194434421,0.0,187.0,365.0,650.0,5000.0,72316912.0,115112,0,0,0,1891,113221,0.0,60000.0,628.2308708040864,365.0,1120.6388194434421,0.0,187.0,365.0,650.0,5000.0,72316912.0,pnad_refined_2007.parquet,pnad_trusted_2007.parquet,0.002494581999997081,0.026333725999961644,0.050903918000017256,0.07973222599997598
2008,6.030685260261263,0.6362715321679433,0.9433361735921927,scaled_mad,1.4826,6.0,119454.87099954819,114822,0,0,0,0,114822,1,1,114821,0.0,8.709132396230688e-06,8.709132396230688e-06,150000.0,85000.0,114822,0,0,0,1576,113246,0.0,150000.0,709.2156294089983,415.0,1334.3538722220633,0.0,207.0,415.0,733.0,5538.739999999962,81433557.0,114822,0,0,0,1576,113246,0.0,150000.0,709.2156294089983,415.0,1334.3538722220633,0.0,207.0,415.0,733.0,5538.739999999962,81433557.0,114821,0,0,0,1576,113245,0.0,85000.0,707.9154248787243,415.0,1259.5252391026913,0.0,207.0,415.0,733.0,5533.800000000003,81283557.0,pnad_refined_2008.parquet,pnad_trusted_2008.parquet,0.0026570789999595945,0.029780707000043094,0.09782281799999737,0.13026060400000006
2009,6.113682179832232,0.6288852463415768,0.9323852662260218,scaled_mad,1.4826,6.0,121538.40099146667,117827,0,0,0,0,117827,0,0,117827,0.0,0.0,0.0,94669.0,94669.0,117827,0,0,0,1625,116202,0.0,94669.0,760.8806046152409,451.0,1355.6017941113585,0.0,232.0,451.0,797.0,6000.0,89652279.0,117827,0,0,0,1625,116202,0.0,94669.0,760.8806046152409,451.0,1355.6017941113585,0.0,232.0,451.0,797.0,6000.0,89652279.0,117827,0,0,0,1625,116202,0.0,94669.0,760.8806046152409,451.0,1355.6017941113585,0.0,232.0,451.0,797.0,6000.0,89652279.0,pnad_refined_2009.parquet,pnad_trusted_2009.parquet,0.0028458550000323157,0.026119292999965182,0.07120969200002492,0.10017484000002241
